Unnamed: 0,TIME_PERIOD,REF_AREA,HICP - Overall index (Monthly),HICP - Food & Beverages (Monthly),HICP - Housing & Electricity (Monthly)
0,2020-01,U2,1.4,1.7,0.6
1,2020-02,U2,1.2,1.8,0.2
2,2020-03,U2,0.7,2.3,-0.4
3,2020-04,U2,0.3,3.6,-1.0
4,2020-05,U2,0.1,3.4,-1.3
5,2020-06,U2,0.3,3.0,-1.1
6,2020-07,U2,0.4,1.6,-1.2
7,2020-08,U2,-0.2,1.2,-1.1
8,2020-09,U2,-0.3,1.4,-1.2
9,2020-10,U2,-0.3,1.7,-1.2
10,2020-11,U2,-0.3,1.5,-1.0
11,2020-12,U2,-0.3,0.9,-0.6
12,2021-01,U2,0.9,1.0,0.3
13,2021-02,U2,0.9,0.8,0.5
14,2021-03,U2,1.3,0.7,1.6
15,2021-04,U2,1.6,0.0,3.0
16,2021-05,U2,2.0,0.1,3.5
17,2021-06,U2,1.9,0.2,3.7
18,2021-07,U2,2.2,1.4,4.7
19,2021-08,U2,3.0,1.9,5.2
20,2021-09,U2,3.4,1.9,5.9
21,2021-10,U2,4.1,1.8,8.0
22,2021-11,U2,4.9,2.2,9.1
23,2021-12,U2,5.0,3.5,9.7
24,2022-01,U2,5.1,3.9,11.9
25,2022-02,U2,5.9,4.7,13.4
26,2022-03,U2,7.4,5.7,17.2
27,2022-04,U2,7.4,7.4,15.9
28,2022-05,U2,8.1,8.7,16.3
29,2022-06,U2,8.6,10.4,16.9
30,2022-07,U2,8.9,11.5,17.7
31,2022-08,U2,9.1,12.4,19.7
32,2022-09,U2,9.9,13.8,21.1
33,2022-10,U2,10.6,15.5,23.2
34,2022-11,U2,10.1,16.0,20.6
35,2022-12,U2,9.2,16.0,16.3
36,2023-01,U2,8.6,16.3,12.0
37,2023-02,U2,8.5,17.3,10.1
38,2023-03,U2,6.9,17.5,4.6
39,2023-04,U2,7.0,15.0,4.8
40,2023-05,U2,6.1,13.7,4.1
41,2023-06,U2,5.5,12.6,2.5
42,2023-07,U2,5.3,11.6,0.8
43,2023-08,U2,5.2,10.3,-0.7
44,2023-09,U2,4.3,9.1,-2.3
45,2023-10,U2,2.9,7.5,-6.1
46,2023-11,U2,2.4,6.9,-5.6
47,2023-12,U2,2.9,6.1,-2.8
48,2024-01,U2,2.8,5.4,-1.2
49,2024-02,U2,2.6,3.3,-0.4
50,2024-03,U2,2.4,2.0,0.6
51,2024-04,U2,2.4,2.2,0.9
52,2024-05,U2,2.6,2.0,1.0
53,2024-06,U2,2.5,1.8,1.7
54,2024-07,U2,2.6,1.6,2.6
55,2024-08,U2,2.2,1.7,2.0
56,2024-09,U2,1.7,1.7,1.8
57,2024-10,U2,2.0,2.2,2.0
58,2024-11,U2,2.2,2.0,2.7
59,2024-12,U2,2.4,1.9,2.9
60,2025-01,U2,2.5,1.6,3.1
61,2025-02,U2,2.3,2.2,2.7
62,2025-03,U2,2.2,2.6,2.9
63,2025-04,U2,2.2,2.7,2.3
64,2025-05,U2,1.9,2.9,2.2
65,2020-01,AT,2.2,1.2,2.9
66,2020-02,AT,2.2,1.9,2.6
67,2020-03,AT,1.6,1.9,2.2
68,2020-04,AT,1.5,2.7,2.0
69,2020-05,AT,0.6,1.4,1.8
70,2020-06,AT,1.1,2.8,2.0
71,2020-07,AT,1.8,2.6,2.1
72,2020-08,AT,1.4,2.3,2.0
73,2020-09,AT,1.2,2.8,2.0
74,2020-10,AT,1.1,2.7,1.8
75,2020-11,AT,1.1,2.7,1.8
76,2020-12,AT,1.0,2.9,1.9
77,2021-01,AT,1.1,-1.1,2.3
78,2021-02,AT,1.4,1.4,2.7
79,2021-03,AT,2.0,1.1,2.9
80,2021-04,AT,1.9,0.0,2.9
81,2021-05,AT,3.0,1.7,2.9
82,2021-06,AT,2.8,0.0,2.5
83,2021-07,AT,2.8,0.0,2.6
84,2021-08,AT,3.2,0.5,2.8
85,2021-09,AT,3.3,0.6,3.1
86,2021-10,AT,3.8,1.0,4.1
87,2021-11,AT,4.1,1.5,4.7
88,2021-12,AT,3.8,1.6,5.1
89,2022-01,AT,4.5,4.9,5.4
90,2022-02,AT,5.5,4.3,8.6
91,2022-03,AT,6.6,5.8,10.3
92,2022-04,AT,7.1,8.3,10.5
93,2022-05,AT,7.7,9.0,10.1
94,2022-06,AT,8.7,11.3,11.2
95,2022-07,AT,9.4,12.1,13.9
96,2022-08,AT,9.3,13.1,15.0
97,2022-09,AT,11.0,13.9,24.4
98,2022-10,AT,11.6,14.4,23.8
99,2022-11,AT,11.2,15.3,22.3
100,2022-12,AT,10.5,16.2,17.7
101,2023-01,AT,11.6,17.0,22.7
102,2023-02,AT,11.0,16.2,18.4
103,2023-03,AT,9.2,14.5,15.0
104,2023-04,AT,9.4,13.2,16.0
105,2023-05,AT,8.7,12.2,16.9
106,2023-06,AT,7.8,11.1,15.6
107,2023-07,AT,7.0,10.6,12.0
108,2023-08,AT,7.5,9.9,11.7
109,2023-09,AT,5.8,8.4,3.4
110,2023-10,AT,4.9,7.3,3.6
111,2023-11,AT,4.9,7.3,4.1
112,2023-12,AT,5.7,6.1,7.5
113,2024-01,AT,4.3,5.5,2.6
114,2024-02,AT,4.0,3.8,1.8
115,2024-03,AT,4.1,3.6,2.9
116,2024-04,AT,3.4,3.3,1.4
117,2024-05,AT,3.3,3.1,0.8
118,2024-06,AT,3.1,1.9,1.1
119,2024-07,AT,2.9,1.3,1.4
120,2024-08,AT,2.4,1.4,0.1
121,2024-09,AT,1.8,2.2,-0.4
122,2024-10,AT,1.8,2.7,-1.8
123,2024-11,AT,1.9,2.1,-1.6
124,2024-12,AT,2.1,1.6,-1.4
125,2025-01,AT,3.4,2.1,5.2
126,2025-02,AT,3.4,2.6,6.5
127,2025-03,AT,3.1,3.1,6.6
128,2025-04,AT,3.3,2.8,6.8
129,2025-05,AT,3.0,3.3,6.7
130,2020-01,BE,1.4,0.9,-0.4
131,2020-02,BE,1.0,1.7,-2.4
132,2020-03,BE,0.4,2.4,-4.1
133,2020-04,BE,0.0,3.3,-5.0
134,2020-05,BE,-0.2,3.6,-5.8
135,2020-06,BE,0.2,3.0,-4.2
136,2020-07,BE,1.7,3.3,-3.8
137,2020-08,BE,-0.9,3.2,-3.5
138,2020-09,BE,0.5,3.5,-4.0
139,2020-10,BE,0.4,3.2,-3.0
140,2020-11,BE,0.2,2.3,-3.0
141,2020-12,BE,0.4,1.6,-2.1
142,2021-01,BE,0.6,0.7,-1.0
143,2021-02,BE,0.3,-0.1,1.8
144,2021-03,BE,1.6,-0.7,4.3
145,2021-04,BE,2.1,-1.3,6.2
146,2021-05,BE,2.5,-1.5,7.9
147,2021-06,BE,2.6,-1.2,8.6
148,2021-07,BE,1.4,-1.1,10.7
149,2021-08,BE,4.7,-0.8,12.1
150,2021-09,BE,3.8,-0.7,13.1
151,2021-10,BE,5.4,-0.4,19.2
152,2021-11,BE,7.1,0.3,26.5
153,2021-12,BE,6.6,1.4,23.5
154,2022-01,BE,8.5,2.5,34.5
155,2022-02,BE,9.5,4.1,34.3
156,2022-03,BE,9.3,4.7,33.0
157,2022-04,BE,9.3,5.5,32.6
158,2022-05,BE,9.9,7.0,33.5
159,2022-06,BE,10.5,8.7,32.4
160,2022-07,BE,10.4,9.9,29.4
161,2022-08,BE,10.5,10.3,31.2
162,2022-09,BE,12.1,11.3,39.3
163,2022-10,BE,13.1,13.2,42.0
164,2022-11,BE,10.5,15.3,24.3
165,2022-12,BE,10.2,15.4,22.6
166,2023-01,BE,7.4,18.8,2.4
167,2023-02,BE,5.4,19.4,-8.1
168,2023-03,BE,4.9,20.3,-9.7
169,2023-04,BE,3.3,17.1,-16.3
170,2023-05,BE,2.7,16.1,-18.9
171,2023-06,BE,1.6,14.2,-20.9
172,2023-07,BE,1.7,13.7,-19.4
173,2023-08,BE,2.4,12.5,-18.4
174,2023-09,BE,0.7,11.4,-23.6
175,2023-10,BE,-1.7,9.2,-29.6
176,2023-11,BE,-0.8,7.9,-23.9
177,2023-12,BE,0.5,7.1,-18.6
178,2024-01,BE,1.5,5.1,-12.6
179,2024-02,BE,3.6,3.3,2.2
180,2024-03,BE,3.8,1.8,5.0
181,2024-04,BE,4.9,1.5,13.0
182,2024-05,BE,4.9,1.3,14.3
183,2024-06,BE,5.4,1.5,17.9
184,2024-07,BE,5.4,1.1,16.8
185,2024-08,BE,4.3,1.8,11.6
186,2024-09,BE,4.3,1.6,12.8
187,2024-10,BE,4.5,2.4,12.3
188,2024-11,BE,4.8,2.0,13.4
189,2024-12,BE,4.4,1.7,11.3
190,2025-01,BE,4.4,2.4,15.8
191,2025-02,BE,4.4,2.4,10.2
192,2025-03,BE,3.6,2.4,8.9
193,2025-04,BE,3.1,2.7,7.3
194,2025-05,BE,2.8,2.6,6.2
195,2020-01,BG,3.4,7.5,2.2
196,2020-02,BG,3.1,6.5,2.3
197,2020-03,BG,2.4,6.6,2.2
198,2020-04,BG,1.3,6.1,0.5
199,2020-05,BG,1.0,6.0,0.4
200,2020-06,BG,0.9,6.6,0.3
201,2020-07,BG,0.4,5.1,0.7
202,2020-08,BG,0.6,4.2,0.8
203,2020-09,BG,0.6,4.0,0.8
204,2020-10,BG,0.6,3.6,0.8
205,2020-11,BG,0.3,2.8,0.9
206,2020-12,BG,0.0,2.0,1.0
207,2021-01,BG,-0.3,-0.1,0.6
208,2021-02,BG,0.2,0.4,0.7
209,2021-03,BG,0.8,0.2,0.8
210,2021-04,BG,2.0,0.6,2.8
211,2021-05,BG,2.3,0.9,3.1
212,2021-06,BG,2.4,0.8,3.5
213,2021-07,BG,2.2,1.8,4.3
214,2021-08,BG,2.5,3.3,4.9
215,2021-09,BG,4.0,4.0,5.6
216,2021-10,BG,5.2,5.5,8.1
217,2021-11,BG,6.3,6.8,9.6
218,2021-12,BG,6.6,8.4,10.4
219,2022-01,BG,7.7,10.5,12.5
220,2022-02,BG,8.4,13.1,12.0
221,2022-03,BG,10.5,16.5,13.3
222,2022-04,BG,12.1,20.2,15.2
223,2022-05,BG,13.4,22.1,16.9
224,2022-06,BG,14.8,23.5,17.1
225,2022-07,BG,14.9,23.9,19.8
226,2022-08,BG,15.0,24.1,25.5
227,2022-09,BG,15.6,25.2,29.3
228,2022-10,BG,14.8,26.4,22.5
229,2022-11,BG,14.3,26.7,17.6
230,2022-12,BG,14.3,26.0,17.8
231,2023-01,BG,14.3,25.2,16.7
232,2023-02,BG,13.7,24.2,15.9
233,2023-03,BG,12.1,21.5,14.3
234,2023-04,BG,10.3,16.8,12.2
235,2023-05,BG,8.6,14.9,10.1
236,2023-06,BG,7.5,13.8,9.0
237,2023-07,BG,7.8,13.6,5.8
238,2023-08,BG,7.5,12.5,0.1
239,2023-09,BG,6.4,10.8,-3.7
240,2023-10,BG,5.9,7.9,-1.1
241,2023-11,BG,5.5,6.0,2.5
242,2023-12,BG,5.0,5.9,1.7
243,2024-01,BG,3.9,5.1,2.3
244,2024-02,BG,3.5,3.4,3.3
245,2024-03,BG,3.1,2.3,3.1
246,2024-04,BG,2.5,2.1,2.9
247,2024-05,BG,2.7,1.5,3.0
248,2024-06,BG,2.8,1.6,3.5
249,2024-07,BG,2.8,1.8,2.4
250,2024-08,BG,2.4,2.7,2.6
251,2024-09,BG,1.5,2.5,2.5
252,2024-10,BG,2.0,3.1,3.6
253,2024-11,BG,2.0,4.3,2.2
254,2024-12,BG,2.1,2.9,2.4
255,2025-01,BG,3.8,4.6,4.9
256,2025-02,BG,3.9,4.6,5.6
257,2025-03,BG,4.0,5.5,6.4
258,2025-04,BG,2.8,6.0,6.4
259,2025-05,BG,2.9,6.8,6.4
260,2020-01,HR,1.8,2.8,2.9
261,2020-02,HR,1.2,2.4,1.1
262,2020-03,HR,0.5,2.6,-1.2
263,2020-04,HR,-0.1,3.6,-4.8
264,2020-05,HR,-0.7,2.7,-5.8
265,2020-06,HR,-0.4,2.3,-4.2
266,2020-07,HR,-0.6,1.2,-3.5
267,2020-08,HR,-0.4,1.6,-3.6
268,2020-09,HR,-0.3,1.3,-4.1
269,2020-10,HR,-0.2,1.3,-4.0
270,2020-11,HR,0.0,1.2,-4.0
271,2020-12,HR,-0.3,-0.6,-3.2
272,2021-01,HR,0.0,-0.6,-2.8
273,2021-02,HR,0.7,-0.3,-1.4
274,2021-03,HR,1.6,-0.5,1.4
275,2021-04,HR,2.1,-0.2,4.5
276,2021-05,HR,2.4,-0.4,5.4
277,2021-06,HR,2.2,0.0,4.3
278,2021-07,HR,2.7,1.8,4.5
279,2021-08,HR,3.1,2.5,4.5
280,2021-09,HR,3.5,3.0,5.8
281,2021-10,HR,3.9,3.7,7.0
282,2021-11,HR,4.7,5.6,7.5
283,2021-12,HR,5.2,8.1,5.9
284,2022-01,HR,5.5,9.4,5.6
285,2022-02,HR,6.3,10.1,6.3
286,2022-03,HR,7.3,10.8,7.7
287,2022-04,HR,9.6,12.7,14.3
288,2022-05,HR,10.7,14.9,15.0
289,2022-06,HR,12.1,16.7,15.0
290,2022-07,HR,12.7,17.9,15.1
291,2022-08,HR,12.6,18.8,14.4
292,2022-09,HR,12.6,18.5,15.3
293,2022-10,HR,12.7,19.4,16.4
294,2022-11,HR,13.0,19.1,16.8
295,2022-12,HR,12.7,18.8,15.3
296,2023-01,HR,12.5,17.2,14.7
297,2023-02,HR,11.7,16.9,13.5
298,2023-03,HR,10.5,17.3,10.5
299,2023-04,HR,8.9,15.6,3.7
300,2023-05,HR,8.3,15.2,2.0
301,2023-06,HR,8.3,14.8,1.4
302,2023-07,HR,8.0,12.9,1.0
303,2023-08,HR,8.4,11.1,2.9
304,2023-09,HR,7.4,10.6,2.1
305,2023-10,HR,6.7,8.9,-0.5
306,2023-11,HR,5.5,7.9,-1.7
307,2023-12,HR,5.4,6.6,0.0
308,2024-01,HR,4.8,6.5,0.0
309,2024-02,HR,4.8,5.6,0.5
310,2024-03,HR,4.9,4.5,0.9
311,2024-04,HR,4.7,4.3,0.2
312,2024-05,HR,4.3,2.9,0.4
313,2024-06,HR,3.5,1.8,0.4
314,2024-07,HR,3.3,1.8,0.0
315,2024-08,HR,3.0,2.3,-1.5
316,2024-09,HR,3.1,3.5,-2.6
317,2024-10,HR,3.6,5.1,-0.4
318,2024-11,HR,4.0,5.1,2.7
319,2024-12,HR,4.5,5.4,3.4
320,2025-01,HR,5.0,5.5,5.2
321,2025-02,HR,4.8,5.4,5.2
322,2025-03,HR,4.3,5.1,4.9
323,2025-04,HR,4.0,4.8,5.6
324,2025-05,HR,4.3,6.1,5.6
325,2020-01,CY,0.7,1.0,0.9
326,2020-02,CY,1.0,1.4,3.5
327,2020-03,CY,0.1,0.8,3.8
328,2020-04,CY,-1.2,-0.6,-0.4
329,2020-05,CY,-1.4,3.6,-2.5
330,2020-06,CY,-2.2,1.0,-5.5
331,2020-07,CY,-2.0,-0.7,-8.6
332,2020-08,CY,-2.9,0.8,-8.0
333,2020-09,CY,-1.9,2.0,-9.2
334,2020-10,CY,-1.4,2.9,-7.4
335,2020-11,CY,-1.1,3.1,-6.7
336,2020-12,CY,-0.8,0.3,-5.3
337,2021-01,CY,-0.8,-4.1,-5.3
338,2021-02,CY,-0.9,-3.3,-5.5
339,2021-03,CY,0.3,-1.4,-5.5
340,2021-04,CY,1.2,-0.9,3.0
341,2021-05,CY,1.5,-2.6,5.0
342,2021-06,CY,2.2,0.1,8.4
343,2021-07,CY,2.7,3.2,13.5
344,2021-08,CY,3.3,6.4,15.2
345,2021-09,CY,3.6,1.4,15.2
346,2021-10,CY,4.4,1.7,15.5
347,2021-11,CY,4.7,-1.0,17.5
348,2021-12,CY,4.8,1.1,15.8
349,2022-01,CY,5.0,4.8,14.1
350,2022-02,CY,5.8,8.8,13.4
351,2022-03,CY,6.2,10.0,17.2
352,2022-04,CY,8.6,12.0,20.9
353,2022-05,CY,8.8,10.6,21.9
354,2022-06,CY,9.0,8.2,23.0
355,2022-07,CY,10.6,8.7,30.7
356,2022-08,CY,9.6,5.0,30.0
357,2022-09,CY,9.0,9.1,28.7
358,2022-10,CY,8.6,12.6,22.2
359,2022-11,CY,8.1,15.1,17.6
360,2022-12,CY,7.6,12.6,17.2
361,2023-01,CY,6.8,10.9,18.0
362,2023-02,CY,6.7,9.5,18.8
363,2023-03,CY,6.1,6.9,15.5
364,2023-04,CY,3.9,6.9,4.8
365,2023-05,CY,3.6,8.9,4.7
366,2023-06,CY,2.8,10.6,-1.0
367,2023-07,CY,2.4,10.4,-2.3
368,2023-08,CY,3.1,10.4,-2.0
369,2023-09,CY,4.3,10.2,0.3
370,2023-10,CY,3.6,5.8,4.1
371,2023-11,CY,2.4,2.7,2.5
372,2023-12,CY,1.9,3.7,1.4
373,2024-01,CY,2.1,3.1,0.7
374,2024-02,CY,2.1,2.1,0.3
375,2024-03,CY,1.6,1.9,-2.2
376,2024-04,CY,2.1,1.4,3.5
377,2024-05,CY,3.0,1.4,2.8
378,2024-06,CY,3.0,2.7,6.4
379,2024-07,CY,2.4,3.4,0.4
380,2024-08,CY,2.2,3.2,0.4
381,2024-09,CY,1.6,3.2,-0.4
382,2024-10,CY,1.6,5.0,-3.2
383,2024-11,CY,2.2,4.2,-1.1
384,2024-12,CY,3.1,7.3,1.0
385,2025-01,CY,2.9,5.3,1.1
386,2025-02,CY,2.3,2.6,2.4
387,2025-03,CY,2.1,2.6,3.9
388,2025-04,CY,1.4,3.0,-2.8
389,2025-05,CY,0.4,2.4,-2.9
390,2020-01,CZ,3.8,6.3,5.2
391,2020-02,CZ,3.7,5.6,4.5
392,2020-03,CZ,3.6,6.4,4.2
393,2020-04,CZ,3.3,8.0,4.1
394,2020-05,CZ,3.1,6.5,3.7
395,2020-06,CZ,3.4,5.6,3.3
396,2020-07,CZ,3.6,4.6,3.2
397,2020-08,CZ,3.5,4.3,3.3
398,2020-09,CZ,3.3,3.5,3.1
399,2020-10,CZ,2.9,3.2,1.7
400,2020-11,CZ,2.8,2.0,1.3
401,2020-12,CZ,2.4,0.0,1.1
402,2021-01,CZ,2.2,0.7,-0.3
403,2021-02,CZ,2.1,0.6,-0.3
404,2021-03,CZ,2.3,-0.3,-0.6
405,2021-04,CZ,3.1,-0.1,-0.5
406,2021-05,CZ,2.7,-1.3,-0.3
407,2021-06,CZ,2.5,-1.0,-0.1
408,2021-07,CZ,2.7,0.8,0.1
409,2021-08,CZ,3.1,1.6,0.3
410,2021-09,CZ,4.0,1.9,0.8
411,2021-10,CZ,4.8,1.0,3.5
412,2021-11,CZ,4.8,2.1,-2.3
413,2021-12,CZ,5.4,4.2,-2.1
414,2022-01,CZ,8.8,5.4,12.8
415,2022-02,CZ,10.0,7.0,15.0
416,2022-03,CZ,11.9,7.8,17.2
417,2022-04,CZ,13.2,10.8,20.3
418,2022-05,CZ,15.2,15.4,21.7
419,2022-06,CZ,16.6,18.3,23.3
420,2022-07,CZ,17.3,19.7,24.6
421,2022-08,CZ,17.1,19.9,25.2
422,2022-09,CZ,17.8,21.4,29.9
423,2022-10,CZ,15.5,25.7,9.9
424,2022-11,CZ,17.2,26.6,21.9
425,2022-12,CZ,16.8,26.3,22.8
426,2023-01,CZ,19.1,25.6,36.9
427,2023-02,CZ,18.4,24.5,34.2
428,2023-03,CZ,16.5,24.2,31.3
429,2023-04,CZ,14.3,17.9,28.2
430,2023-05,CZ,12.5,14.9,27.0
431,2023-06,CZ,11.2,12.4,25.2
432,2023-07,CZ,10.2,9.8,23.6
433,2023-08,CZ,10.1,8.2,23.1
434,2023-09,CZ,8.3,6.2,16.6
435,2023-10,CZ,9.5,3.8,34.7
436,2023-11,CZ,8.0,1.4,29.3
437,2023-12,CZ,7.6,-0.4,28.7
438,2024-01,CZ,2.7,-4.0,5.1
439,2024-02,CZ,2.2,-4.9,5.2
440,2024-03,CZ,2.2,-6.0,5.2
441,2024-04,CZ,3.1,-2.8,4.8
442,2024-05,CZ,2.8,-3.8,4.6
443,2024-06,CZ,2.2,-4.3,4.5
444,2024-07,CZ,2.5,-3.1,4.4
445,2024-08,CZ,2.4,-1.7,4.2
446,2024-09,CZ,2.8,0.6,5.2
447,2024-10,CZ,3.0,0.1,6.4
448,2024-11,CZ,3.1,0.9,6.0
449,2024-12,CZ,3.3,1.7,5.2
450,2025-01,CZ,2.9,4.8,0.3
451,2025-02,CZ,2.8,4.5,0.2
452,2025-03,CZ,2.7,6.2,0.2
453,2025-04,CZ,1.7,4.2,0.2
454,2025-05,CZ,2.3,5.5,0.1
455,2020-01,DK,0.8,0.0,0.2
456,2020-02,DK,0.7,0.4,-0.7
457,2020-03,DK,0.3,1.2,-0.4
458,2020-04,DK,-0.1,1.5,-1.2
459,2020-05,DK,-0.2,1.2,-0.8
460,2020-06,DK,0.2,0.8,-0.5
